RILnumber,SWDTF,SPDTF
3,57,63
5,34.33333334,31.83333333
7,38.16666667,33.33333334
10,39.5,33
11,38.33333334,40
12,33.33333334,33.33333334
13,36.66666667,36.33333333
14,51.16666667,34.33333334
17,44.5,56.08333334
18,51.83333334,57.33333333
20,53.91666667,59.08333334
21,34.16666667,33.16666667
22,31.16666667,28.83333334
24,56.83333334,59.83333334
26,38.33333333,41
28,44.16666667,46
31,38.66666667,42.33333334
34,39.66666667,36.66666667
36,53.66666667,60
38,46.33333334,41.83333334
39,31.33333334,29.58333334
41,36.83333334,37
45,37.83333334,33.83333334
48,39.5,40.33333333
51,37.66666667,37
61,34.66666667,33.33333334
62,37.25,36.95
64,34,34.83333334
66,39.16666667,37.66666667
69,30.75,28.66666667
74,30,26.83333334
75,48.41666667,58.66666667
76,35,32.83333334
78,56.66666667,71
83,32.33333333,29.33333334
84,36.66666667,36.83333334
87,54.33333334,54
88,53,61.75
89,55.5,62.33333334
90,35.83333334,34.33333334
92,50.66666667,57.5
93,37.33333334,32.16666667
94,57.5,71
95,43.75,56.16666667
97,35.16666667,33.83333333
98,57.33333334,52.16666667
102,34.83333334,32.83333334
104,47.33333334,57.5
106,31.5,33.33333334
107,30.5,26.83333334
201,30,27.33333334
204,35.33333334,32.41666667
206,51.16666667,67.75
208,43.375,52.3
211,37,38
214,37.56666667,39.3
215,43.13333334,40.5
217,36.66666667,40.5
218,48.83333333,61.16666667
219,37.33333333,33.66666667
221,32.16666667,28
222,49.2,58
224,39,49.33333333
227,48.5,45.75
228,47.5,47.83333333
229,33.33333334,26.83333334
233,55.25,57
235,36.75,28.83333333
236,37.83333334,33
237,33.33333334,32.16666667
239,35.83333333,43
240,29,24.66666667
241,37.66666667,31.33333334
246,34,31.16666667
247,32.91666667,28.83333333
250,35,30.66666667
254,47,58.5
255,36.33333334,32.5
256,52,54.5
257,36,30
259,37.08333334,40.66666667
260,49.5,54.41666667
263,36.83333334,30.33333334
265,38.66666667,28
266,37.58333334,39.5
267,36,34.83333334
269,32.25,29
270,43.33333334,32.91666667
273,49.83333333,57.33333334
278,33.5,28.66666667
279,37.91666667,36
280,40.66666667,42
281,42.5,49.83333334
282,42,38.66666667
1000,36.33333333,34.66666667
1001,60.83333333,67.25